tournament,date,market,fixture,side,model_p,market_p,corrected_fv,ask,net_edge,raw_edge,contracts,total_cost,bet_won,pnl
2022,2022-11-21,btts,England v Iran,yes,0.4813,0.3388,0.41,0.3559,0.038,0.1092,29,10.79,True,18.21
2022,2022-11-22,btts,Argentina v Saudi Arabia,yes,0.448,0.2982,0.3731,0.3125,0.0455,0.1204,35,11.47,True,23.53
