wc,n_matches,log_loss,brier,accuracy,rho
2010,64,0.9539118197784489,0.5650126711694566,0.59375,-0.028868177241659805
2014,64,0.9873337432960052,0.588351525442976,0.5625,-0.02893340329101611
2018,64,0.9538432251710652,0.5679188383628581,0.546875,-0.02812555286315013
2022,64,0.9979229652538886,0.5898319819808137,0.546875,-0.02349557627539209
