series_ticker,event_ticker,market_ticker,title,yes_bid,yes_ask,mid,last_price,volume,open_interest,status
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-XCX,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.03,0.025,0.03,857.11,409.93,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-WEE,Who will perform at the 2026 FIFA World Cup final halftime show?,0.05,0.06,0.055,0.06,4438.72,2430.12,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-WAY,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,61.00,45.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-UZI,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.02,731.00,292.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-USH,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.03,0.025,0.04,74.43,43.43,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-TYLA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.11,0.12,0.115,0.13,3725.45,1687.38,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-TYL,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.13,0.075,0.13,433.16,336.16,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-TYG,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,196.00,124.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-TRI,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,471.00,444.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-TRA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.06,0.035,0.04,1362.14,934.19,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-TPA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.03,506.60,427.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-TIM,Who will perform at the 2026 FIFA World Cup final halftime show?,0.08,0.16,0.12,0.09,533.17,155.10,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-THU,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,137.08,105.08,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-TAY,Who will perform at the 2026 FIFA World Cup final halftime show?,0.04,0.06,0.05,0.03,3560.57,1371.77,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-TAT,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.03,0.025,0.01,428.90,309.06,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-SZA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.02,620.88,345.99,active
